,Armenia,Asia central,Azerbaiyán,Belarús,Bosnia y Herzegovina,Bélgica,Chequia,Croacia,Eritrea,Eslovaquia,Eslovenia,Estonia,Etiopía,Federación de Rusia,Georgia,Kazajstán,Kirguistán,Letonia,Lituania,Luxemburgo,Macedonia del Norte,Micronesia (Estados Federados de),Montenegro,Palestina,República de Moldova,Serbia,Tayikistán,Turkmenistán,Ucrania,Uzbekistán
Eslovenia,0.6523397564888,0.6398776769638062,0.3877323865890503,0.34105056524276733,0.4551351070404053,-0.6914099454879761,-0.5571320056915283,-0.4033917188644409,0.5669788122177124,-0.3988274037837982,1.0,0.2505021393299103,0.6671846508979797,0.15126119554042816,0.47550567984580994,0.40236321091651917,0.6193176507949829,0.3840661644935608,-0.10310688614845276,-0.25679394602775574,-0.3493950664997101,-0.744415819644928,0.8659734129905701,0.5966464877128601,-0.300761878490448,0.7964374423027039,0.6673477292060852,0.6443697810173035,-0.515650749206543,0.7657449245452881
Estonia,0.35295286774635315,0.4665623605251312,0.7123330235481262,0.764422595500946,0.10652238875627518,-0.5962119698524475,-0.0003604162484407425,-0.3075304627418518,-0.07171833515167236,0.08963155746459961,0.2505021095275879,1.0,0.2857142388820648,0.7345004677772522,0.31157803535461426,0.7408785820007324,0.5723552703857422,0.8157542943954468,0.7285516858100891,-0.0017329584807157516,0.12327498197555542,-0.18628454208374023,0.4714926481246948,-0.13374090194702148,0.6003893613815308,0.18928523361682892,0.39727893471717834,0.08345736563205719,0.3994576036930084,0.1360171139240265
Etiopía,0.8927211761474609,0.9101852178573608,0.7690790295600891,0.4816216826438904,0.8082892298698425,-0.8311129808425903,-0.9130405783653259,-0.3108329772949219,0.8356060981750488,-0.7845572829246521,0.667184591293335,0.28571420907974243,1.0,0.1356576681137085,0.8357038497924805,0.6914545893669128,0.9016942977905273,0.6283587217330933,-0.19298754632472992,-0.39527302980422974,-0.6754902005195618,-0.8087851405143738,0.6929211020469666,0.9329909086227417,-0.596828043460846,0.4513098895549774,0.9580419063568115,0.9464058876037598,-0.8528895974159241,0.9771090149879456
Federación de Rusia,0.02743487060070038,0.2869405746459961,0.7055070400238037,0.863430380821228,-0.19359458982944489,-0.5000871419906616,0.12733182311058044,-0.5025100111961365,-0.28253883123397827,0.3771805763244629,0.15126118063926697,0.7345003485679626,0.1356576532125473,1.0,0.033647406846284866,0.5561012029647827,0.47535839676856995,0.7964345216751099,0.8392124772071838,-0.5700653791427612,0.10846059024333954,-0.0339055098593235,0.6122498512268066,-0.24353797733783722,0.7495661973953247,0.502683162689209,0.3476274907588959,-0.1255410760641098,0.5158522129058838,0.08072824776172638
Georgia,0.8692886233329773,0.8328514695167542,0.6670310497283936,0.3879290819168091,0.8716402053833008,-0.7959780097007751,-0.7618191242218018,-0.010015172883868217,0.7580417990684509,-0.7702323198318481,0.4755057394504547,0.31157803535461426,0.8357038497924805,0.03364741802215576,1.0,0.676630973815918,0.7986059188842773,0.5420376062393188,-0.055690400302410126,-0.057754188776016235,-0.6382744312286377,-0.7378950715065002,0.8981372117996216,0.7373789548873901,-0.4023025929927826,0.7011190056800842,0.760451078414917,0.8337349891662598,-0.5057262778282166,0.7557634115219116
Kazajstán,0.694463849067688,0.882135808467865,0.8849697113037109,0.7859083414077759,0.5489771366119385,-0.7923961281776428,-0.4553036689758301,-0.23221053183078766,0.30228278040885925,-0.3707468807697296,0.40236321091651917,0.7408785820007324,0.6914546489715576,0.5561012029647827,0.676630973815918,1.0,0.8519530296325684,0.8298817276954651,0.4062023162841797,0.004816554486751556,-0.20604601502418518,-0.5772431492805481,0.6408122777938843,0.35908207297325134,0.163145512342453,0.467962384223938,0.7657620906829834,0.5845755338668823,-0.053350985050201416,0.567945659160614
Kirguistán,0.82220858335495,0.9339818954467773,0.8976351022720337,0.7472585439682007,0.6729335188865662,-0.8079760074615479,-0.7421761751174927,-0.4663393497467041,0.6182332038879395,-0.605406641960144,0.6193176507949829,0.5723552703857422,0.9016942977905273,0.47535836696624756,0.7986059188842773,0.8519529104232788,1.0,0.8214437961578369,0.22954142093658447,-0.3888067305088043,-0.5633516311645508,-0.7630682587623596,0.8084081411361694,0.6095370650291443,-0.10300237685441971,0.4888857901096344,0.9407825469970703,0.7612128257751465,-0.36088162660598755,0.8334507942199707
Letonia,0.5124595165252686,0.6636108756065369,0.9159941077232361,0.9556134939193726,0.32445091009140015,-0.802230179309845,-0.40077298879623413,-0.44037720561027527,0.25521320104599,-0.24385309219360352,0.3840661644935608,0.8157542943954468,0.6283587217330933,0.7964344024658203,0.5420376062393188,0.8298816680908203,0.8214437961578369,1.0,0.6991016864776611,-0.32224398851394653,-0.1847323477268219,-0.4223068952560425,0.8972958922386169,0.09233655780553818,0.4308010935783386,0.6528871059417725,0.6471641063690186,0.30754750967025757,0.20571359992027283,0.4123920202255249
Lituania,-0.08070912212133408,0.039858587086200714,0.5483952164649963,0.7364395260810852,-0.2752670347690582,-0.4158627688884735,0.4489123225212097,-0.16116982698440552,-0.5189968943595886,0.6515170335769653,-0.10310690104961395,0.7285516858100891,-0.19298751652240753,0.8392124772071838,-0.055690377950668335,0.4062022566795349,0.22954142093658447,0.6991016864776611,1.0,-0.15107889473438263,0.3528096675872803,0.2819504141807556,0.15782952308654785,-0.49002379179000854,0.8585734367370605,0.1594291776418686,0.05626378208398819,-0.36871159076690674,0.7212597131729126,-0.24422138929367065
Luxemburgo,-0.15048770606517792,-0.1664692908525467,-0.379061758518219,-0.2741081118583679,0.14249631762504578,0.24933136999607086,0.330183744430542,0.7112672924995422,-0.41298890113830566,0.23294277489185333,-0.25679391622543335,-0.0017329566180706024,-0.39527302980422974,-0.5700653791427612,-0.057754166424274445,0.004816524684429169,-0.38880670070648193,-0.32224398851394653,-0.15107889473438263,1.0,0.685249388217926,0.3373877704143524,-0.6028001308441162,-0.3332008719444275,-0.04826521873474121,-0.4780873954296112,-0.4161757528781891,-0.1689588725566864,0.5026708245277405,-0.45451050996780396
Macedonia del Norte,-0.5652349591255188,-0.5033141374588013,-0.34731924533843994,-0.08652413636445999,-0.5773589611053467,0.34825924038887024,0.6981224417686462,0.2759917080402374,-0.6456096172332764,0.6216084957122803,-0.3493950664997101,0.12327499687671661,-0.6754902005195618,0.10846059769392014,-0.6382744312286377,-0.20604601502418518,-0.5633516907691956,-0.1847323328256607,0.3528096675872803,0.685249388217926,1.0,0.5639262795448303,-0.4933236241340637,-0.6960250735282898,0.5621128678321838,-0.1877199411392212,-0.5917580127716064,-0.644874632358551,0.6326935291290283,-0.7010408043861389
Micronesia (Estados Federados de),-0.8109497427940369,-0.8212482929229736,-0.5059975981712341,-0.33507847785949707,-0.7109190225601196,0.7216841578483582,0.7479556798934937,0.3681984841823578,-0.6955171823501587,0.755902111530304,-0.744415819644928,-0.18628454208374023,-0.8087851405143738,-0.033905502408742905,-0.7378950715065002,-0.5772431492805481,-0.7630682587623596,-0.4223068654537201,0.2819504141807556,0.3373877704143524,0.5639262795448303,1.0,-0.9616138339042664,-0.7712876200675964,0.476584255695343,-0.7679778933525085,-0.7755542993545532,-0.8616910576820374,0.625205934047699,-0.8524258732795715
Montenegro,0.669040858745575,0.8282595872879028,0.6178709864616394,0.6763508319854736,0.17320756614208221,-0.6903376579284668,-0.6308568716049194,-0.7823275327682495,0.7548530697822571,-0.40376320481300354,0.8659734725952148,0.4714926481246948,0.6929211616516113,0.6122498512268066,0.8981372117996216,0.6408122777938843,0.8084081411361694,0.8972960114479065,0.15782952308654785,-0.6028001308441162,-0.4933236241340637,-0.9616138339042664,1.0,0.5805305242538452,0.46828487515449524,0.7674912214279175,0.6942014098167419,0.8797101974487305,-0.5184309482574463,0.8120104670524597
Palestina,0.7656098008155823,0.7364367842674255,0.3396824598312378,0.0072151124477386475,0.7796826362609863,-0.6931353211402893,-0.9005862474441528,-0.06583874672651291,0.8876025676727295,-0.8025672435760498,0.5966464877128601,-0.13374091684818268,0.9329909682273865,-0.24353797733783722,0.7373789548873901,0.35908210277557373,0.6095371246337891,0.09233655035495758,-0.49002379179000854,-0.3332008123397827,-0.6960250735282898,-0.7712876796722412,0.5805305242538452,1.0,-0.767815113067627,0.4584982395172119,0.7730236053466797,0.9323873519897461,-0.9082531332969666,0.9086669683456421
República de Moldova,-0.42903539538383484,-0.2645869851112366,0.21551910042762756,0.5012418627738953,-0.6311060786247253,0.13990633189678192,0.7564557790756226,-0.22871750593185425,-0.8891803026199341,0.8594422936439514,-0.300761878490448,0.6003893613815308,-0.596828043460846,0.7495661973953247,-0.4023025929927826,0.163145512342453,-0.1030023843050003,0.4308010935783386,0.8585734367370605,-0.04826522618532181,0.5621127486228943,0.47658422589302063,0.46828487515449524,-0.767815113067627,1.0,0.3670136332511902,-0.26788583397865295,-0.6540438532829285,0.9234291911125183,-0.5440347790718079
Serbia,0.5298904180526733,0.5977773666381836,0.40183085203170776,0.5021247267723083,0.265197217464447,-0.5948696732521057,-0.3524000644683838,-0.4615973234176636,0.5263199806213379,-0.17173293232917786,0.7964373826980591,0.18928523361682892,0.4513098895549774,0.502683162689209,0.7011188864707947,0.467962384223938,0.4888857901096344,0.6528871059417725,0.1594291627407074,-0.4780873954296112,-0.1877199113368988,-0.7679778933525085,0.7674911618232727,0.4584982395172119,0.3670136332511902,1.0,0.4813019633293152,0.604479193687439,-0.3324165642261505,0.6138761043548584
Tayikistán,0.8405683040618896,0.9415217638015747,0.8022845983505249,0.5717438459396362,0.6959763765335083,-0.8141934871673584,-0.7976534366607666,-0.44466620683670044,0.6830111742019653,-0.6271596550941467,0.6673477292060852,0.39727893471717834,0.9580418467521667,0.3476274907588959,0.760451078414917,0.7657620310783386,0.9407825469970703,0.6471641063690186,0.05626377463340759,-0.4161757528781891,-0.5917580127716064,-0.775554358959198,0.6942014098167419,0.7730236053466797,-0.26788583397865295,0.4813019633293152,1.0,0.8500568270683289,-0.5518543720245361,0.9286636710166931
Turkmenistán,0.8937106132507324,0.8867306113243103,0.5085151791572571,0.20843753218650818,0.8561007976531982,-0.8333063721656799,-0.8786269426345825,-0.12163156270980835,0.8370974063873291,-0.8327831625938416,0.6443698406219482,0.083457350730896,0.946405827999115,-0.12554104626178741,0.8337349891662598,0.5845755338668823,0.7612128257751465,0.3075474798679352,-0.36871159076690674,-0.1689588725566864,-0.644874632358551,-0.8616910576820374,0.8797101974487305,0.9323873519897461,-0.6540438532829285,0.604479193687439,0.8500567078590393,1.0,-0.8052204847335815,0.931965172290802
Ucrania,-0.599827766418457,-0.49594587087631226,-0.026453383266925812,0.27441874146461487,-0.6718527674674988,0.7452804446220398,0.9080983400344849,0.031143950298428535,-0.9566009044647217,0.8778960108757019,-0.515650749206543,0.3994576036930084,-0.8528895974159241,0.515852153301239,-0.5057262778282166,-0.05335095524787903,-0.36088159680366516,0.20571370422840118,0.7212597131729126,0.5026707649230957,0.6326935291290283,0.6252058744430542,-0.5184309482574463,-0.9082531929016113,0.9234291911125183,-0.3324165642261505,-0.5518543720245361,-0.8052204847335815,1.0,-0.771622896194458
Uzbekistán,0.8386948108673096,0.8789111971855164,0.5900934934616089,0.34170496463775635,0.7436284422874451,-0.7866275310516357,-0.8728543519973755,-0.3684370219707489,0.80683434009552,-0.7233232259750366,0.7657449245452881,0.1360170990228653,0.9771089553833008,0.08072824776172638,0.7557634115219116,0.567945659160614,0.8334508538246155,0.4123920202255249,-0.24422138929367065,-0.45451050996780396,-0.7010408043861389,-0.8524259328842163,0.8120104670524597,0.9086670279502869,-0.5440347790718079,0.6138761043548584,0.9286637306213379,0.931965172290802,-0.7716229557991028,1.0
